Hospital,Patient Count,Total Billing
Campbell-Lester,1,16324.116232600623
"and Ward, Whitehead Ellison",1,4353.107112610525
Lee-Nielsen,1,23777.144197983496
Turner-Taylor,2,73545.93889217218
Li-Tucker,1,19700.52542753842
Sutton-Hernandez,1,43603.141178161015
"Moore Perez and Burnett,",1,9892.09893764486
"Riley, Garcia and Wright",1,16598.38423981883
Hart-White,1,26422.638425832938
"Williams, Clark Horton and",1,30821.03676765832
"Park Diaz, and Kelly",1,2099.812620740904
Sims-Novak,1,4898.538383219478
"Cuevas and Jackson, Nunez",1,22202.808097180165
Powers-Flores,1,31663.439633592498
"Jenkins, Banks Ramsey and",1,50116.55693578113
Jordan Sons and,3,46695.948471837866
Stevenson-Ford,1,24158.272616176848
Webb-Cook,1,20445.724257837574
"Smith, Allen Garcia and",1,25707.410988434956
Young-Decker,1,18268.112097119272
LLC Reese,1,15694.52154293576
"Gonzalez and Huang Bowen,",1,22486.649629163
"Carpenter Richard and Nunez,",1,49202.41968455474
"and Johnson Moore, Branch",1,-502.50781270094785
"Baker, Weber Patton and",1,51587.93681650202
Duran Sons and,1,5811.629851037733
"and Thompson Burke, Harrington",1,3516.8478500906785
"Lopez Keller, Williams and",1,7383.383359204997
"Thomas and Nguyen, King",1,26036.67355909808
Wong-Booth,1,49121.41107450952
Hunt Inc,3,54290.18588145809
"Jones Lopez, and Ali",1,30133.235414131064
Adams-Bass,1,27850.552749878643
Hampton-Collins,1,5655.413059826667
Garcia-Warren,2,30527.37979495177
Carter-Johnson,1,10381.479358717417
Villegas-Mccoy,1,7693.30590880111
Jenkins-James,1,31813.983704446142
"and Williams Rodriguez Johnson,",1,34968.70909728112
Calderon-Rodriguez,1,19954.13004007728
Harris-Dominguez,1,25962.975198953525
"Hernandez Wong Allen, and",1,35335.1803033744
"and Harris Ortega Macias,",1,29662.44419134108
Ruiz-Wilson,1,25822.469251378414
Inc Freeman,6,160276.44391985715
Reynolds LLC,4,75770.41999220861
"and Lopez, Archer Miller",1,8284.60358569853
"Glass Johnson and Perez,",1,25979.016342887222
"Barnes Kennedy Thomas, and",1,14495.671202508845
LLC Boyer,3,140924.50876008216
Porter-Morris,1,10807.49374733658
"Skinner, Rice Donovan and",1,45842.06860695339
"and Mcguire Smith, Smith",1,48635.486633347115
"Daugherty and Mclean, Parsons",1,26522.975766385778
Sanders-Boyle,1,49794.263092498244
Thomas Sons and,3,45875.51400331498
Moore-Bowen,1,18139.25477703869
"Garcia Morales and Pope,",1,25049.6307079768
Sons Fox and,1,31159.04743651207
Ford PLC,4,110856.1293389827
Davis-Peters,1,31845.379853772476
"Palmer, and Mendoza Sherman",1,28527.65914168253
Scott-Luna,1,13064.433443910408
Tucker-Hunt,1,30819.671867805304
"Welch Jones Swanson, and",1,46462.9527405974
"Cook Lopez, and Hammond",1,2789.9641942618728
Pena-Hernandez,1,33793.41583044942
"and Erickson Mosley, Jones",1,30611.046842649474
"and Cortez Hayes Wallace,",2,47746.7693087168
"Wise Rodriguez Mendoza, and",1,41992.776712735744
"and Wilson, Fowler Warren",1,12904.669806154983
"Jones Stephens Nunez, and",1,48253.91822802649
Hill-Patton,1,21715.720090055955
Inc Baker,3,107414.67094300731
"Villegas Smith, Mitchell and",1,45106.81656330766
Nichols Sons and,1,13376.251637577785
"Sandoval and Wallace Johnson,",1,4594.343454911352
"Dean, and Smith Day",1,35922.234155703096
"Wagner Franco, May and",1,33764.53926020818
"Payne, Finley Schwartz and",1,7970.935765269698
"Chavez Ramos, Young and",1,23873.593876303567
"Everett Hernandez and Lopez,",1,33314.22017884482
Group Warner,2,67634.89946248912
Olson-Landry,1,28533.410911224266
Eaton-Grimes,1,19489.39441272267
Wallace-Smith,2,45054.072539405475
Gordon-Hoffman,1,16943.837591001477
"and Patterson, Martinez Arellano",1,16199.1933470684
LLC Pacheco,2,74192.0053280986
"Williams, and Sullivan Jenkins",1,43022.666274095995
"Greene, Ortiz Berger and",1,41902.62667959554
"and Smith Johnson, Clayton",1,38479.75842794884
Brown-Jones,4,88369.1402810932
Adams Sons and,2,18826.053878698858
Thompson-Ortega,2,70392.98169076577
Ortiz-Hayes,1,50868.90907443847
Cain Group,1,13265.731589375066
LLC Harris,8,275387.756572867
Hancock-Benson,1,40515.576423876926
Foley-Perry,1,49311.85559125322
Lewis-Mendoza,1,24187.469839208035
Marshall Inc,2,60311.03517588139
"Camacho and Bolton, White",1,48061.33633458144
"Carter Morrison Mcdonald, and",2,1855.9629025532536
Boyd-Flores,1,39319.741459768855
Gallagher-Christian,1,37182.32683721093
"Lambert Rowe Thomas, and",2,54639.35431640791
Padilla-Kerr,1,47184.920024514446
Harper-Cherry,1,7812.059499323717
Lindsey-Brown,1,49125.6969996074
Hansen Group,2,25539.177990576733
"Tyler Henry, and Massey",1,35911.26227133293
Obrien-Knight,1,1950.764592553348
Sons Hensley and,1,3399.0008856278764
"Simpson Santiago, and Miller",1,16433.977574646236
Inc Cabrera,2,55349.17189443826
"and Garcia, Davis Peterson",2,33897.87774672316
"Reid Kerr and Andrews,",2,29326.77367401382
"and Jimenez Gardner, Harris",1,6603.570624733832
"Roberts and Hamilton Doyle,",1,30165.141285939688
Hurley-Cooley,1,18882.934849178964
Patterson-Smith,1,51280.44637693383
Ellis-Andrews,1,26809.71631181961
"Rodriguez Medina Anderson, and",1,25896.905946969095
Sweeney Group,1,24475.87170483179
"Patterson and Lopez Gonzalez,",1,48465.39494865644
Group Washington,3,116773.61921440437
Robinson PLC,5,95481.83435418631
"Powell, Tate Cardenas and",1,7741.150956790629
"Williams West Osborne, and",1,40166.43270690154
Martinez-Roberts,1,34891.38535386141
Collins-Bailey,1,37991.402410025
Harris and Sons,3,74748.65802572557
Tucker-Dean,1,46796.08833708117
"Smith and Campbell, Paul",1,27844.691520868088
Park-Haney,1,30492.800981692653
"and Wallace Rodriguez, Jones",1,45806.20530236248
Inc Leach,1,13687.053518799057
Key-Reilly,1,35666.65309991397
"Nichols, and Green Ray",1,48821.37857587618
"Fernandez and Atkinson, Johnson",1,46289.09270147859
Williams-Anthony,1,29727.767276122297
Murphy-Rojas,1,2834.437299847424
"and Pineda Jennings, White",1,30903.80895851776
Figueroa-May,1,15913.6205197912
"and Flores, Collins Quinn",1,3475.9817598192503
"and Garcia Ferguson, Davis",1,35923.57286926218
"Diaz, Moore and Parrish",1,37703.04372523516
Sons and Becker,1,18361.271456582363
"Patton Dorsey and Smith,",1,46847.38345533261
"and Holmes Miller Paul,",1,37619.61234775428
"Smith, Miller and Mason",2,66441.80194155691
Jimenez-Jones,2,21122.77742315846
"Gordon, and Jackson Miller",2,74496.73800014488
"Wilson Mitchell Rodriguez, and",1,7014.239278160235
Ltd Doyle,1,13005.219388558271
"and Edwards, Malone Brown",1,37580.91026862975
"Sanders and Smith, Coffey",1,12625.353796002375
"and Jones Hancock, Sanchez",1,2866.3179873740924
and Sons Yates,1,42369.71884274501
Diaz-Stewart,1,18370.387428673068
Frank-Gates,2,65145.70652923954
Martinez-Clark,1,12129.467541707998
Alvarado-Prince,1,27277.197352774623
Roy PLC,1,21699.510544245528
Martin-Levine,1,17292.199120311892
"Davis, and Thompson Gonzalez",1,42356.55172370999
Young-Hunter,1,38739.06636506966
"Cooper Nichols Reynolds, and",1,7971.247657348988
Foster-Stephens,2,25769.58797238066
"and Johnson Bradley, Williams",1,30689.64826861445
Rice Ltd,2,49473.60620634228
"Wood Smith, and Jenkins",1,31354.62279551273
"and Shepard Ramirez Yates,",2,33537.38904818912
"Smith Davis, and Hernandez",2,91071.48890792571
Harmon-Carroll,1,37662.939642022895
Berry-Cummings,1,10345.59653605043
and Bradley Sons,2,81456.83449453706
Garcia-Yoder,1,2796.782327677443
Welch-Gonzales,1,15225.891846344286
"Gonzalez Wong, and Peterson",1,38032.297752939485
"Austin, and Salas Blair",2,13091.625591365762
Ferrell-Carney,1,9898.977898141353
"Morales and Singleton Crane,",1,24389.430663161987
Compton-Gordon,1,50033.259302105194
"Rodriguez Mann, Griffin and",1,48655.1607230012
Guzman-White,1,36665.85617854598
"Villanueva Jenkins, and Miller",1,31697.010220455788
"and David, Rodriguez Scott",1,43110.66514989038
Group Duncan,4,133211.4936399951
"Fritz Henderson Stanton, and",1,45902.70764469024
"Hernandez and Delacruz, Kramer",1,24451.289481048025
"Fox and Moreno Williams,",1,8024.4100528891
Herman-Ewing,1,2162.607297082759
"Price, Neal and Mcpherson",1,35789.994594515745
and Sons Curry,1,47469.17732637843
"Holmes, Vasquez Sanchez and",1,18831.832412669643
"Taylor, and Garner Lee",1,32801.7197738276
Serrano Sons and,1,28882.902989123235
Molina-Bowman,1,31804.492070477758
"Webster, Daniels Lowery and",1,2515.9559310202044
Nolan PLC,1,11343.915446629673
Inc Leonard,2,36499.74347939491
"and Espinoza Shields Porter,",1,11694.034099763614
"Welch, Nielsen and Taylor",1,36614.0062893702
"Fletcher Garcia and Howard,",1,8287.601753951274
Perry-Martinez,1,37308.41517748503
Group Dodson,1,39258.97963108465
and Salazar Sons,1,3220.7837734459645
"and Wilson Wright, Ryan",1,42758.22610995282
Walsh-Williams,1,29907.377558118642
Jordan-Smith,2,52541.34171524427
Wise LLC,2,90689.52341939008
LLC Curtis,2,20145.17792515204
Walters-Weiss,1,40171.950885533275
Castro-Wolf,1,28517.73374963771
Group Valenzuela,2,9363.704467904701
Wilkerson and Sons,1,13922.647678367213
Newman-Dudley,1,28469.01594334919
Vasquez-Buckley,1,39227.359663313524
"Jimenez, Brennan Craig and",1,8903.709823369696
LLC Powell,3,27160.538556495285
"Andrews and Morrison, Ramirez",1,40182.804122020076
Brewer PLC,3,71656.16667361913
"Benson and Arroyo, Rodriguez",2,55895.98904340417
LLC Hooper,2,48939.52730080337
Cooper LLC,2,83271.58667429248
Ferguson PLC,2,44171.350852466334
Inc Hayes,2,30165.52347067356
Harmon Inc,2,17658.577405759203
Krueger-Bennett,1,47876.578839473856
Curry-Kelley,1,43127.57911726757
"Torres Hawkins, Morris and",1,13910.407901047027
"Gonzalez Raymond and Henry,",1,10077.13530762869
"Mitchell Espinoza, and Campos",1,23956.427657447286
Sons Little and,4,97278.5793402191
Long Inc,3,59311.73351466672
Cross Group,2,59399.16928148635
"and Jones, Spencer Hernandez",1,32603.021045628404
Craig-Palmer,1,28778.383320663845
"and Robinson, Goodman Wheeler",1,31989.395169797368
Thompson-Rhodes,1,35015.45270714424
"Jones and Fitzpatrick King,",1,30124.129273303643
Mason-Washington,1,15079.044756793632
Inc Pierce,3,113492.07065804464
and Sons Padilla,1,6625.846404928607
"Berger and Deleon, Martin",1,5073.946253691247
"Goodman Mullins and Gilmore,",1,4951.040875289516
"Mendez Walker, and Richards",1,32895.32849278771
"Mack, Walton and Rogers",1,10349.124508493664
Collins-Dixon,1,32242.256039423646
Garner and Sons,2,51606.84703998489
Hess-Nichols,1,20097.467835260257
"and Smith Owens, Floyd",1,41511.585624017105
Fritz LLC,2,47936.29320486067
"Martin and Brown, Hubbard",1,27713.551997301907
Dickerson-David,1,49461.875581293185
Mcintyre-Anderson,1,36635.76766138929
"Bryant and Newton, Vega",1,30855.72944479391
Parker-Richards,1,50733.73822528349
"Pope and Mckenzie Delgado,",1,40846.24450867571
"and Meyer Mcintyre, Gardner",1,23850.959716469686
Mcpherson-Howard,1,46917.64267584059
LLC Hendrix,1,47568.14734513111
Henderson LLC,7,128644.65983682296
LLC Juarez,2,61645.30075838785
Barber-Maynard,1,27395.898803194916
"Mendoza Davis Miller, and",1,21692.153748919416
Adkins PLC,1,44660.886377644005
"Johnson, Collins and Dominguez",1,42418.88927807182
Crawford LLC,4,78587.3170927837
Reynolds-Mcdonald,1,27574.92898760456
Inc Turner,4,62320.08978162811
"Martin and Nguyen Gomez,",2,38845.60512283456
Ltd Contreras,2,46193.24083646956
"and Guerrero Smith, Schmidt",1,43342.475918636716
"and Barrett, Russell Phillips",1,3532.048936398097
Rodriguez-Thomas,1,18521.381837660232
"and Stone, Brown Singleton",1,34066.661681086975
"and Logan Murray Mathews,",1,4376.500078816403
Wilson-Willis,1,28836.735495244957
Garcia-Mack,1,45039.99681987981
Mendoza-Chen,1,47502.16182807467
Sons and Bernard,1,17831.966908150345
Davis-Ibarra,1,43987.53173353616
Munoz-Hernandez,1,2264.979758406004
Obrien-Gilbert,1,33649.403781439614
"Lee, Wu Mercado and",1,36281.5171583027
Jacobs-Wheeler,1,43621.05408539951
Munoz LLC,3,87535.96497589807
"Hill and Reynolds, Brown",1,49193.8218386939
"Ramsey and Conrad Coleman,",1,34694.63288221479
Sanchez-Palmer,1,42808.9690467239
Group Hancock,1,26650.042405344066
Ltd Chapman,1,34165.30335743514
"Watkins and Chung, Cooley",1,3181.1932322562325
"and Butler Rios, Stark",1,37596.8723771598
Douglas-James,1,15314.38617471711
Walker-Bradshaw,1,4300.775239817885
"Thomas, Smith and Savage",1,8989.028642292178
Collins-Osborne,1,25320.313151242233
Beasley-Caldwell,1,7704.811649610696
Manning-Jones,1,30884.158085863528
"and Brown Cohen Jones,",1,18739.809140192738
"Daniel Lopez, Bates and",1,24014.27897010222
"Reyes Mooney Jones, and",1,8862.036185174376
"Rodriguez and Jackson Frazier,",1,35418.621661439094
Sellers and Sons,1,13461.661807486198
Ruiz-Johnson,1,4130.693463143948
Inc Fernandez,2,52078.50873731948
Lee-Gonzalez,1,29572.58234910517
Arnold-Aguirre,2,35504.15660539744
Hensley-Rodriguez,1,34625.007258005746
Richards Sons and,1,44247.244208839016
Washington-Holden,1,38426.23333465153
Smith-Howell,1,35252.22874422004
Wilkins-Williams,1,7956.744185409606
"Briggs, and Yang Miller",1,15953.469418674667
"Hall Jackson, and Sanchez",1,25613.045656253344
"Rogers, and Hensley Gonzalez",1,21373.874285662387
Burke-Estrada,1,8708.750601738475
Nguyen-Sims,1,19497.13187154201
"Perez, Werner and Mcgee",1,22774.102571292788
"Long and Davenport Johnson,",1,21301.449177399718
PLC Hensley,2,58727.57682098211
Stevenson-Morrow,1,43156.34223108673
"Evans, Robertson and Webb",1,8666.221524694549
Sons Allen and,1,15738.080113108503
Burton-Reyes,1,30340.89991266613
Khan-Mcdaniel,1,18535.254131960577
Schneider-Sutton,1,30553.22236301155
"and Howard Wiggins, Hardy",1,43762.05666756661
Mckinney-Cooper,1,20633.408988465442
Holmes-Peterson,1,41514.664207430484
"Weaver Fisher, Mitchell and",1,16181.904438842947
"Phillips Ferguson and Cochran,",1,39937.100371276814
Jackson-Garcia,1,46286.894979464756
"and Adams Reilly, Taylor",1,22133.58445833431
and Sons Mitchell,1,26244.918631361314
