Hospital,Patient Count,Total Billing
Davis-Peters,1,31845.379853772476
"Palmer, and Mendoza Sherman",1,28527.65914168253
Scott-Luna,1,13064.433443910408
Tucker-Hunt,1,30819.671867805304
"Welch Jones Swanson, and",1,46462.9527405974
"Cook Lopez, and Hammond",1,2789.9641942618728
Pena-Hernandez,1,33793.41583044942
"and Erickson Mosley, Jones",1,30611.046842649474
"and Cortez Hayes Wallace,",1,23873.3846543584
"Wise Rodriguez Mendoza, and",1,41992.776712735744
"and Wilson, Fowler Warren",1,12904.669806154983
"Jones Stephens Nunez, and",1,48253.91822802649
Hill-Patton,1,21715.720090055955
Inc Baker,3,107414.67094300731
"Villegas Smith, Mitchell and",1,45106.81656330766
Nichols Sons and,1,13376.251637577785
"Sandoval and Wallace Johnson,",1,4594.343454911352
"Dean, and Smith Day",1,35922.234155703096
"Wagner Franco, May and",1,33764.53926020818
"Payne, Finley Schwartz and",1,7970.935765269698
"Chavez Ramos, Young and",1,23873.593876303567
"Everett Hernandez and Lopez,",1,33314.22017884482
Group Warner,1,47928.25832331539
Olson-Landry,1,28533.410911224266
Eaton-Grimes,1,19489.39441272267
Wallace-Smith,1,6488.157814583566
Gordon-Hoffman,1,16943.837591001477
"and Patterson, Martinez Arellano",1,16199.1933470684
LLC Pacheco,1,37096.0026640493
"Williams, and Sullivan Jenkins",1,43022.666274095995
"Greene, Ortiz Berger and",1,41902.62667959554
"and Smith Johnson, Clayton",1,38479.75842794884
Brown-Jones,1,8214.629734433713
Adams Sons and,1,9928.933694610798
Thompson-Ortega,1,45898.20366487737
Ortiz-Hayes,1,50868.90907443847
Cain Group,1,13265.731589375066
LLC Harris,4,131705.08358297878
Hancock-Benson,1,40515.576423876926
Foley-Perry,1,49311.85559125322
Lewis-Mendoza,1,24187.469839208035
Marshall Inc,1,22318.1541514767
"Camacho and Bolton, White",1,48061.33633458144
"Carter Morrison Mcdonald, and",1,927.9814512766268
Boyd-Flores,1,39319.741459768855
Gallagher-Christian,1,37182.32683721093
"Lambert Rowe Thomas, and",1,27319.677158203955
Padilla-Kerr,1,47184.920024514446
Harper-Cherry,1,7812.059499323717
Lindsey-Brown,1,49125.6969996074
Hansen Group,1,20237.063646555376
"Tyler Henry, and Massey",1,35911.26227133293
Obrien-Knight,1,1950.764592553348
Sons Hensley and,1,3399.0008856278764
"Simpson Santiago, and Miller",1,16433.977574646236
Inc Cabrera,1,25901.31353275128
"and Garcia, Davis Peterson",1,16948.93887336158
"Reid Kerr and Andrews,",1,14663.38683700691
"and Jimenez Gardner, Harris",1,6603.570624733832
"Roberts and Hamilton Doyle,",1,30165.141285939688
Hurley-Cooley,1,18882.934849178964
Patterson-Smith,1,51280.44637693383
Ellis-Andrews,1,26809.71631181961
"Rodriguez Medina Anderson, and",1,25896.905946969095
Sweeney Group,1,24475.87170483179
"Patterson and Lopez Gonzalez,",1,48465.39494865644
Group Washington,1,49403.971263868545
Robinson PLC,1,25782.56551522965
"Powell, Tate Cardenas and",1,7741.150956790629
"Williams West Osborne, and",1,40166.43270690154
Martinez-Roberts,1,34891.38535386141
Collins-Bailey,1,37991.402410025
Harris and Sons,1,10247.628010562072
Tucker-Dean,1,46796.08833708117
"Smith and Campbell, Paul",1,27844.691520868088
Park-Haney,1,30492.800981692653
"Morales and Singleton Crane,",1,24389.430663161987
Compton-Gordon,1,50033.259302105194
Group Duncan,3,92485.08120113448
"Fritz Henderson Stanton, and",1,45902.70764469024
"Hernandez and Delacruz, Kramer",1,24451.289481048025
"Fox and Moreno Williams,",1,8024.4100528891
Herman-Ewing,1,2162.607297082759
"Price, Neal and Mcpherson",1,35789.994594515745
and Sons Curry,1,47469.17732637843
"Holmes, Vasquez Sanchez and",1,18831.832412669643
"Taylor, and Garner Lee",1,32801.7197738276
Serrano Sons and,1,28882.902989123235
Molina-Bowman,1,31804.492070477758
"Webster, Daniels Lowery and",1,2515.9559310202044
Nolan PLC,1,11343.915446629673
Inc Leonard,2,36499.74347939491
"and Espinoza Shields Porter,",1,11694.034099763614
"Welch, Nielsen and Taylor",1,36614.0062893702
"Fletcher Garcia and Howard,",1,8287.601753951274
Perry-Martinez,1,37308.41517748503
Group Dodson,1,39258.97963108465
and Salazar Sons,1,3220.7837734459645
"and Wilson Wright, Ryan",1,42758.22610995282
Walsh-Williams,1,29907.377558118642
Jordan-Smith,1,26270.670857622135
Wise LLC,1,45344.76170969504
LLC Curtis,1,6261.3817310226905
Walters-Weiss,1,40171.950885533275
Castro-Wolf,1,28517.73374963771
Group Valenzuela,1,4681.852233952351
Wilkerson and Sons,1,13922.647678367213
Newman-Dudley,1,28469.01594334919
Vasquez-Buckley,1,39227.359663313524
"Jimenez, Brennan Craig and",1,8903.709823369696
LLC Powell,1,1598.2964519988311
"Andrews and Morrison, Ramirez",1,40182.804122020076
Brewer PLC,3,71656.16667361913
"Benson and Arroyo, Rodriguez",1,27947.994521702087
LLC Hooper,2,48939.52730080337
Cooper LLC,1,41753.438585225675
Ferguson PLC,2,44171.350852466334
Inc Hayes,2,30165.52347067356
Harmon Inc,2,17658.577405759203
Krueger-Bennett,1,47876.578839473856
Curry-Kelley,1,43127.57911726757
"Torres Hawkins, Morris and",1,13910.407901047027
"Gonzalez Raymond and Henry,",1,10077.13530762869
"Mitchell Espinoza, and Campos",1,23956.427657447286
Sons Little and,2,73215.7806612742
Long Inc,1,13819.76268531254
Cross Group,2,59399.16928148635
"and Jones, Spencer Hernandez",1,32603.021045628404
Craig-Palmer,1,28778.383320663845
"and Robinson, Goodman Wheeler",1,31989.395169797368
Thompson-Rhodes,1,35015.45270714424
"Jones and Fitzpatrick King,",1,30124.129273303643
Mason-Washington,1,15079.044756793632
Inc Pierce,1,31686.993753156105
and Sons Padilla,1,6625.846404928607
"Berger and Deleon, Martin",1,5073.946253691247
"Goodman Mullins and Gilmore,",1,4951.040875289516
"Mendez Walker, and Richards",1,32895.32849278771
"Mack, Walton and Rogers",1,10349.124508493664
Collins-Dixon,1,32242.256039423646
Garner and Sons,1,16939.03579161087
Hess-Nichols,1,20097.467835260257
"and Smith Owens, Floyd",1,41511.585624017105
Fritz LLC,1,34549.09063363002
"Martin and Brown, Hubbard",1,27713.551997301907
Dickerson-David,1,49461.875581293185
Mcintyre-Anderson,1,36635.76766138929
"Bryant and Newton, Vega",1,30855.72944479391
Parker-Richards,1,50733.73822528349
"Pope and Mckenzie Delgado,",1,40846.24450867571
"and Meyer Mcintyre, Gardner",1,23850.959716469686
Mcpherson-Howard,1,46917.64267584059
LLC Hendrix,1,47568.14734513111
Henderson LLC,2,11014.184659972685
LLC Juarez,1,37633.398482616336
Barber-Maynard,1,27395.898803194916
"Mendoza Davis Miller, and",1,21692.153748919416
Adkins PLC,1,44660.886377644005
"Johnson, Collins and Dominguez",1,42418.88927807182
Crawford LLC,1,21724.60421403286
Reynolds-Mcdonald,1,27574.92898760456
Inc Turner,1,6985.390504368215
"Martin and Nguyen Gomez,",1,19422.80256141728
Ltd Contreras,1,20008.024781787863
"and Guerrero Smith, Schmidt",1,43342.475918636716
"and Barrett, Russell Phillips",1,3532.048936398097
Rodriguez-Thomas,1,18521.381837660232
"and Stone, Brown Singleton",1,34066.661681086975
"and Logan Murray Mathews,",1,4376.500078816403
Wilson-Willis,1,28836.735495244957
Garcia-Mack,1,45039.99681987981
Mendoza-Chen,1,47502.16182807467
Sons and Bernard,1,17831.966908150345
Davis-Ibarra,1,43987.53173353616
Munoz-Hernandez,1,2264.979758406004
Obrien-Gilbert,1,33649.403781439614
"Lee, Wu Mercado and",1,36281.5171583027
Jacobs-Wheeler,1,43621.05408539951
Munoz LLC,1,38573.38434275409
"Hill and Reynolds, Brown",1,49193.8218386939
"Ramsey and Conrad Coleman,",1,34694.63288221479
Sanchez-Palmer,1,42808.9690467239
Group Hancock,1,26650.042405344066
Ltd Chapman,1,34165.30335743514
"Watkins and Chung, Cooley",1,3181.1932322562325
"and Butler Rios, Stark",1,37596.8723771598
Douglas-James,1,15314.38617471711
Walker-Bradshaw,1,4300.775239817885
"Thomas, Smith and Savage",1,8989.028642292178
Collins-Osborne,1,25320.313151242233
Beasley-Caldwell,1,7704.811649610696
Manning-Jones,1,30884.158085863528
"and Brown Cohen Jones,",1,18739.809140192738
Day-Robinson,1,44294.3809131703
Harrison Inc,1,5138.779478068436
Lopez PLC,7,203578.40150529222
Stewart Sons and,2,86408.34719155819
Morris-Campbell,1,12073.067265369198
"Johnson, and Benson Harris",1,32429.619126939684
Group Evans,3,57663.081295212265
Norman PLC,2,42137.490460766516
and Ochoa Sons,1,14415.583135229539
Hernandez-Wood,1,13325.466025984402
and Lopez Sons,3,56286.781648341486
Weaver-Parker,2,21621.958123334673
and Sims Sons,1,29319.343812919185
Group Cook,7,252587.61830753784
"Ramirez, Torres Brown and",1,6934.019459764394
Henderson-Newton,1,3898.548043170901
Schmidt-Wilson,1,34036.0618345358
PLC Larson,1,21808.82198499412
Mendoza LLC,2,67249.73945445739
"Berg, Perkins and Chan",1,39257.03346113062
"Wise, and Gomez Duffy",1,28557.340644376054
"Warner Evans, Davies and",1,41311.637464778345
Ltd Long,2,61488.39965328426
Cortez-Kramer,1,28447.440044460036
Pineda-Johnson,1,45208.58782400116
Wyatt Group,1,27361.724025332234
Green-Hill,1,46729.7898634886
"Griffin, and Harvey Miller",1,35048.61643177357
"Clark Scott, Sims and",1,29404.911706888186
Wright-Myers,1,29213.58952220525
Morrison Inc,2,38162.01792846179
Harrison PLC,1,19002.303469740003
Wilson-Cook,1,13207.823510706174
Lin-Chen,1,42959.44805934686
Higgins Ltd,1,29709.241576181743
and Gray Sons,2,78528.53996463008
"Matthews Ramirez and Goodwin,",1,32279.73955702205
Dawson-Burke,1,19277.744141976298
Armstrong-Smith,1,39741.395310833024
PLC Sullivan,2,48138.27654375195
LLC Turner,1,12318.888067235637
Baker-Castillo,1,6920.270436203467
"Howard Gutierrez and Mayer,",1,17480.97334626333
"Walker and Rodriguez, Dickson",1,31300.184105995188
"and Brooks Miles, Rodgers",1,37562.98848849829
Huerta-Taylor,1,3094.2412325190135
"and Richards Aguilar Moody,",1,21539.403830380288
Ford-Werner,1,15106.923707707938
Inc Benjamin,1,34841.64839886839
Kemp-Cohen,1,21781.9853011574
"Morgan and Anderson Page,",1,44647.41173938672
LLC Combs,1,15968.581716177929
Gomez-Lyons,1,3603.683632357911
Brown-Gomez,1,25568.919751613877
Richardson-Thomas,1,28872.23001650814
Taylor-David,1,50277.91365515276
Galloway-Beltran,1,21778.356286425056
"Higgins, Wong and Turner",1,26105.76947446749
"Logan and Smith, Stevenson",1,42651.698477443155
"Cruz, Flores and Wolf",1,4928.965925074461
Gardner-Watts,1,16527.557063350778
"Ward Flores, and Dixon",1,36644.193051773065
"Carson Day, Lynch and",1,7902.375852224121
Crawford-Anderson,1,41920.86017778902
"Luna and Hansen, Cook",1,29373.09315891178
"Smith Patel, and Goodwin",1,25520.74136126462
"Stone and Rodriguez, Myers",1,30186.66264594558
Santiago-White,1,45332.12550590978
Williams-Lopez,1,9128.259601591455
"Campbell Snyder and Avery,",1,25049.184318214015
Gonzales Group,1,32768.80627013071
"and Martinez Jones Bates,",1,42209.406170753806
"and Fuller Oneill, Buckley",1,31828.214093093986
Ho-Gill,1,5143.778937426441
"Morris and Patrick, Johnson",1,47355.06719513669
"Wise Valenzuela and Kent,",1,44378.3938069766
"and Larson Gillespie Lester,",1,1247.6735822466892
"Mendoza, Moore and Rich",1,22577.868024341373
"Hopkins and Neal Logan,",1,48664.87904063173
Alvarez-Nunez,1,32208.955893942963
Group Howard,2,49169.83291481811
"Boyer Hayes Hill, and",1,35927.19015548194
Ltd Ryan,1,10578.005412855167
Sons Matthews and,1,36377.962407501065
Ltd Harvey,1,45459.5898499778
Marshall-Walker,1,49713.59628100792
"Maldonado, Williams Taylor and",1,24757.703351225377
"Russell Lee and Crawford,",1,13325.407033840775
"and Duncan Larsen, Jackson",1,36210.13398556086
Robles LLC,1,27332.75674264782
Stafford-Collins,1,5984.679892176972
Ltd Powell,1,48391.61851262537
Conner Inc,1,35104.34933462292
"Smith, Hall and Smith",1,26058.54406109944
and Baker Sons,1,28498.261278264108
"and Blair, Bautista Cuevas",1,47508.82053107437
"Adams, Bowers Escobar and",1,49191.64768802146
"Gibson, and Joseph Kennedy",1,14433.819033374086
Thomas-Goodwin,1,49268.23611808053
Dougherty-Smith,1,34909.7098961913
Wagner-Mason,1,41272.92893997236
Clark-Howard,1,44983.09757051738
Collins-Hernandez,1,1678.8783868793969
"Mendez, Mcdonald and Wilson",1,50012.330746745385
"Woodward, White and Hoffman",1,16810.124804737778
"Luna Gonzales Charles, and",1,5803.935804562688
"George Robinson, Ferguson and",1,44039.50950179961
Quinn-Reilly,1,29896.33223715413
"Porter Tucker, and Travis",1,25492.553641321243
Hodge-Love,1,7287.773893038525
Fowler-Dalton,1,34805.16101175581
Benitez-Rodriguez,1,45662.80605771101
Acosta-Smith,1,4391.133883477857
PLC Spence,1,13818.688391431437
Schneider-Anderson,1,11091.657800506688
Evans-Thompson,1,1180.0542370335077
Yoder-Adams,1,27512.65429781742
"Thompson Hamilton, Wilson and",1,33427.79974940966
"Kelly, Long Fitzpatrick and",1,11741.114029383261
Simmons and Sons,1,39953.74405571637
"Hardy, Kelley and Gonzalez",1,10880.733218937854
Harper-Contreras,1,34842.50838272561
Weeks-Moreno,1,16866.7081509945
Garza-Strickland,1,34226.56018746313
LLC Colon,1,34887.910737597194
"and Smith, Tucker Cross",1,46377.86514923159
Hill-Hernandez,1,32905.47679380129
Vargas-Cohen,1,45987.15677951294
Collins-Lozano,1,2275.636631828838
"and Thompson Mccall, Brooks",1,5009.974996254164
Davis-Smith,2,41150.58624357797
Brooks PLC,1,33256.48914417586
Parker-Hodges,1,18231.065765646763
PLC Adams,3,44163.19604269983
Skinner-Sanford,1,10768.498004749907
Garcia Sons and,1,21898.958237659535
Campbell-Bridges,1,49611.45591884031
"Fritz Gonzalez, Rodgers and",1,36334.23009523959
Myers-Ryan,1,31006.67244483677
"Hardy and Ramsey, Patel",1,25478.57836196149
Gonzales-Hubbard,1,41083.41735223039
Garner-Collier,1,17975.32762576033
"Vasquez Hart, and Ruiz",1,43159.41241015829
Grimes-Smith,1,23005.36475946905
"Davis, Morris Richardson and",1,28087.83931920878
Lee-Tate,1,24841.36770032361
Inc Hale,1,5960.8551757451905
"Eaton and Jackson, Nunez",1,24937.57780743758
Greene-Travis,1,41400.969005988976
"Gomez and Norris Holloway,",1,11439.70383974009
Pena-Griffin,1,37913.47147015812
"Wallace, Knight and Mills",1,20715.320438061688
Barr Inc,1,15809.498085478917
Cooper-Burgess,1,25814.928504065338
Vasquez LLC,1,49565.8451247012
Cobb-Reed,1,48419.54461371875
Owens-Hudson,1,3236.134070938948
"Summers Wade, Proctor and",1,46206.964360507205
Wood-Noble,1,7659.045824262377
Ward-Cox,1,38286.959908345845
Gonzales-Bruce,1,45658.75096077995
Castaneda-Downs,1,20012.778715075427
"Madden and Jones Gross,",1,29036.655587315407
Guerrero-Jones,1,40843.93076020491
"Jones, Greer and Alvarado",1,12905.999224093182
Ruiz-Medina,1,17953.501493570122
Rhodes-Williams,1,27273.269728071686
"Johnson, and Smith Brown",1,14294.627637081623
"Bauer and Stewart, Flores",1,8787.08516570919
"Sanchez Blackburn Perkins, and",1,39572.348872384646
Gutierrez-Johnson,1,26652.46768642636
"Malone and Robinson Patterson,",1,5618.669339982729
Marshall-Woodard,1,19492.498098166998
Sons Harris and,1,30174.80426825463
Brooks-Vaughn,1,26028.24282179584
"Andrade Rios Williams, and",1,42442.61957776442
"Campbell Nichols, Garcia and",1,10664.690854652585
and Sons Wood,2,35274.42556814871
Mullen PLC,1,33496.08504817896
Powell-Simpson,1,14807.347545306548
"Stewart, Robertson Beard and",1,6003.987823166522
"Montes, Vaughan and Bell",1,13664.784314398803
